Record ID,Property Address,Deal Type,Review Date ( AEST ),Unit Number(s),Street Number,Street Name,Suburb Name,State,Why this property?,Google Map,Bed (Primary),Bed (Secondary),Bath (Primary),Bath (Secondary),Land Size,Title,Body corp $ (per quarter),Garage (Primary),Garage (Secondary),Car-port (Primary),Car-port (Secondary),Car-space (Secondary),Car-space (Primary),Zoning,Flood,Bushfire,Mining,Other (Overlay),Special Infrastructure,Due Diligence Acceptance,Asking,Created At ( AEST ),Updated At ( AEST ),folder_link
"6a3c6cf1114fff69445f1ed9","Unit 2, 22 Carara Dr,  Kawana QLD 4701","05 Established","","2","22","Carara Dr,","Kawana","QLD","Strong Capital Growth - Kawana has demonstrated robust capital growth potential, attributed to its strategic location within the Rockhampton Regional area.  \nTight Rental Market - With rental vacancy rates remaining exceptionally low, Kawana offers a competitive edge for investors seeking strong tenant demand.  \nInfrastructure Development - Ongoing infrastructure projects in the Rockhampton region are set to bolster Kawana's long-term investment appeal.  \nAffordability Advantage - Kawana provides a cost-effective entry point for investors compared to other coastal locales, enhancing capital growth prospects.  \nSolid Rental Yield - Investors can benefit from rental returns that exceed the regional average, driven by sustained demand and limited supply.  \nTransport Connectivity - Enhanced access to major road networks and public transport options makes Kawana attractive to both tenants and investors.  \nPopulation Growth - The area is experiencing significant population growth, increasing the demand for housing and bolstering rental market stability.","https://www.google.com/maps/search/?api=1&query=22%20CARARA%20DR%2C%20KAWANA%20QLD%204701","3","","1","","320","Strata","90","1","","","","","","Splitters Creek Residential Area (Residential)","No","No","No","No","No","Yes","On-market","Jun 25 2026 09:49 AM","Jun 25 2026 10:00 AM","https://drive.google.com/drive/folders/15I28JXdZJuzBOqLaKkQF0jEjrwjQGWHg"
"6a3b9c4dcd475d81f0e4c137","Units A,B, 136 Blaxland Av Two Rocks WA 6037","05 Established","","A,B","136","Blaxland Av","Two Rocks","WA","Strong Capital Growth - Two Rocks has experienced steady capital growth, bolstered by its coastal location and development potential within the City of Wanneroo.  \nTight Rental Market - The suburb's low vacancy rates and strong tenant demand make it an ideal location for consistent rental income.  \nInfrastructure Investment - Ongoing and planned infrastructure projects in the City of Wanneroo promise to enhance property values and livability.  \nAffordability Advantage - With more competitive pricing compared to other coastal suburbs, Two Rocks offers attractive entry points for investors.  \nStrong Rental Yield - High tenant demand in Two Rocks contributes to rental yields that outperform many nearby areas.  \nTransport Connectivity - Improved transport links, including road and planned public transit expansions, increase accessibility and tenant interest.  \nPopulation Growth - The growing population in the region supports sustained demand for both rental and owner-occupied housing.","https://www.google.com/maps/search/?api=1&query=136%20Blaxland%20Avenue%2C%20Two%20Rocks%2C%20WA%206037","3","2","2","1","453","Green","","2","0","","1","","","Urban development","No","Yes","No","No","No","Yes","On-market","Jun 24 2026 06:58 PM","Jun 26 2026 10:03 AM","https://drive.google.com/drive/folders/1Ss8AfotveG3MOBFWtxAtzFltmhKWNcx-"
"6a3b8b62eabbf745d277b322","Unit 1, 22 Carara Dr, Kawana QLD 4701","05 Established","","1","22","Carara Dr,","Kawana","QLD","Strong Capital Growth - Kawana has demonstrated robust capital growth due to its strategic location within the Rockhampton Regional area and ongoing urban development.  \nInfrastructure Development - Significant investments in local infrastructure, including road networks and public amenities, enhance property value.  \nAffordable Entry Point - Kawana offers attractive entry-level pricing compared to nearby urban centers, providing a gateway for capital appreciation.  \nTransport Accessibility - Proximity to major transport routes ensures easy connectivity, boosting the area's attractiveness to tenants.  \nGrowing Population - Kawana benefits from a growing population, which fuels demand for housing and supports long-term investment returns.","https://www.google.com/maps/search/?api=1&query=22%20Carara%20Drive%2C%20Kawana%2C%20Qld%204701","3","","1","","312","Strata","90","1","","","","","","Splitters Creek Residential Area (Residential)","No","No","No","No","No","Yes","On-market","Jun 24 2026 05:46 PM","Jun 26 2026 02:11 PM","https://drive.google.com/drive/folders/1QuetcC6Zd0Oo3yvKMP0wt5CKsGYftsTb"
"6a3b53193d49d1a8444e77bf","9 Charnley Gdns Waikiki wa 6169","05 Established","","","9","Charnley Gdns","Waikiki","WA","Strong Capital Growth - Waikiki has demonstrated robust capital growth due to its coastal location and increasing demand for residential properties.  \nLow Vacancy Rates - The City of Rockingham reports low rental vacancy rates, indicating strong tenant demand in Waikiki.  \nInfrastructure Development - Ongoing infrastructure projects in the area are expected to enhance property values and attract more residents.  \nAffordable Entry Point - Waikiki offers a more affordable entry point compared to other coastal suburbs, increasing its appeal to investors seeking value.  \nHigh Rental Yield Potential - Properties in Waikiki offer competitive rental yields, bolstered by high demand and limited supply.  \nExcellent Transport Links - The suburb benefits from excellent connectivity to major roads and public transport, increasing its attractiveness to tenants.  \nGrowing Population - The City of Rockingham is experiencing significant population growth, which is driving up demand for housing in Waikiki.","https://www.google.com/maps/search/?api=1&query=9%20Charnley%20Gardens%2C%20Waikiki%2C%20WA%206169","5","","2","","512","Green","","0","","2","","","","R20 (R20 Residential)","No","No","No","No","No","Yes","On-market","Jun 24 2026 01:46 PM","Jun 24 2026 02:52 PM","https://drive.google.com/drive/folders/1AHpHKT0c-oBmuTmY8jrOYUSFx_uD5fek"
"6a3b451778d85c8dee4ccb00","Lot 12, Howards Crossing Howard QLD 4659","01 H&L Comms","","","","Howards Crossing","Howard","QLD","Strong Capital Growth – Howard has exhibited consistent capital growth, bolstered by its strategic location within the Fraser Coast region and future development plans.\r\n\r\nTight Rental Market – The Fraser Coast Regional area, including Howard, experiences low rental vacancy rates, indicating robust tenant demand.\r\n\r\nInfrastructure Developments – Upcoming infrastructure projects in the Fraser Coast will enhance Howard's connectivity and attractiveness for long-term investment.\r\n\r\nAffordability Advantage – Howard offers more affordable property prices compared to nearby coastal areas, presenting strong potential for capital appreciation.\r\n\r\nSteady Rental Yield – The area provides competitive rental yields, driven by high occupancy rates and a growing tenant base.\r\n\r\nPopulation Growth – The Fraser Coast region is experiencing strong population growth, increasing the demand for housing and rental properties in Howard.\r\n\r\nTransport Accessibility – Howard benefits from excellent transport links, including proximity to major highways, enhancing its appeal for commuters and tenants.","https://www.google.com/maps/place/Howard's+Crossing/@-25.3144157,152.5672733,854m/data=!3m2!1e3!5s0x6beb7172570c5693:0x763a4c7489b95a7!4m15!1m8!3m7!1s0x6beb717257beaaab:0x554848698794a6d5!2s36+William+St,+Howard+QLD+4659!3b1!8m2!3d-25.3146839!4d152.5679134!16s%2Fg%2F11m6rwh4db!3m5!1s0x6beb71281481b38f:0x717a7309286003ce!8m2!3d-25.3152549!4d152.5648032!16s%2Fg%2F11xdt88ml3?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D","4","","2","","375","Torrens","","2","","","","","","LDR (Low Density Residential)","No","No","No","No","No","Yes","","Jun 24 2026 12:46 PM","Jun 24 2026 01:14 PM","https://drive.google.com/drive/folders/125UjwMFbPRe_DiPJWv1xiz4NGLhQt_OS"
"6a3b3fafe3327f410af470c8","12 Mitchell Ct Gracemere QLD 4702","05 Established","","","12","Mitchell Ct","Gracemere","QLD","Emerging Growth Area - Gracemere is identified as a growth suburb within the Rockhampton Regional area, with potential for significant capital appreciation.  \nCompetitive Rental Yields - The suburb's rental yields are competitive, driven by strong tenant demand and affordable purchase prices.  \nLow Vacancy Rates - With vacancy rates consistently below the regional average, Gracemere ensures steady rental income for investors.  \nContinued Infrastructure Development - Ongoing infrastructure projects, including transport and community amenities, are set to enhance Gracemere's investment appeal.  \nCost-Effective Entry Point - Gracemere offers a cost-effective entry point into the property market compared to other regional areas, enhancing capital growth potential.  \nProximity to Employment Hubs - Its close proximity to Rockhampton's employment centers boosts tenant demand and rental occupancy rates.  \nPopulation Influx - A steady population increase in Gracemere is fostering long-term demand for housing and rental properties.","https://www.google.com/maps/search/?api=1&query=12%20Mitchell%20Court%2C%20Gracemere%2C%20Qld%204702","4","","2","","662","Torrens","","2","","","","","","Town Zone - Residential Precinct (Residential)","No","No","No","No","No","Yes","On-market","Jun 24 2026 12:23 PM","Jun 24 2026 01:06 PM","https://drive.google.com/drive/folders/1QbYAoafGlln-2io_6G_-J9yaLmOQsW3N"
"6a3b3fa8f246bb64be054a1a","18 Senna Av Andrews Farm sa 5114","05 Established","","","18","Senna Av","Andrews Farm","SA","Strong Capital Growth - Andrews Farm has shown robust capital growth due to its strategic location within the rapidly developing City of Playford.  \nInfrastructure Development - Significant investment in local infrastructure, including schools and transport facilities, enhances long-term property value.  \nAffordable Entry Point - Offering competitive pricing relative to nearby suburbs, Andrews Farm presents an attractive opportunity for initial investment.  \nExcellent Connectivity - Proximity to major roads and public transport options increases property appeal and accessibility.  \nPopulation Growth - The suburb is experiencing substantial population growth, driving up demand for housing and rental properties.","https://www.google.com/maps/search/?api=1&query=18%20Senna%20Avenue%2C%20Andrews%20Farm%2C%20SA%205114","3","","2","","300","Torrens","","1","","","","","","MPN (Master Planned Neighbourhood)","No","No","No","No","No","Yes","On-market","Jun 24 2026 12:23 PM","Jun 24 2026 12:59 PM","https://drive.google.com/drive/folders/1ED-F6b4Oh19MypIbUDL7qSKW_ljqgnEZ"
"6a3b33337e289b0d4861d8f4","377 Binnies Rd Deebing Heights qld 4306","03 Internal with Comms","","","377","Binnies Rd","Deebing Heights","QLD","Strong Capital Growth – Rosewood's strategic location within Ipswich City has sparked consistent capital growth, bolstered by its emerging status as a regional development hub.\n\nTight Rental Market – With rental vacancy rates consistently low in Ipswich City, Rosewood presents strong tenant demand and rental security.\n\nInfrastructure Investment – Ongoing investments in transport and community infrastructure are set to enhance Rosewood's connectivity and livability.\n\nAffordability Advantage – Rosewood offers more affordable entry points compared to neighboring suburbs, increasing potential for capital appreciation.\n\nStrong Rental Yield – The suburb boasts rental yields above the regional average, driven by demand from both families and professionals.\n\nTransport Connectivity – Proximity to major highways and public transport options enhances Rosewood's appeal for commuters.\n\nPopulation Growth – Ipswich City, including Rosewood, is experiencing robust population growth, underpinning long-term housing demand.","https://www.google.com/maps/search/?api=1&query=377%20Binnies%20Road%2C%20Deebing%20Heights","4","","3","","420","Torrens","","2","","","","","","N/A","No","Yes","No","No","No","Yes","Off-market","Jun 24 2026 11:30 AM","Jun 25 2026 06:53 PM","https://drive.google.com/drive/folders/1_3RfK9NJDXCH-g9b08YR4CrAcxTvUrpS"
"6a3b2e926502827d9eb83a4e","23 Macquarie Ct Mildura VIC 3500","05 Established","","","23","Macquarie Ct","Mildura","VIC","Strong Capital Growth - Mildura has demonstrated robust capital growth potential, fueled by its regional economic development and investment in local industries.  \nInfrastructure Investment - Ongoing infrastructure projects in transport and community facilities are set to bolster Mildura's long-term investment appeal.  \nAffordability Advantage - As an affordable entry point compared to metropolitan areas, Mildura offers investors significant potential for future capital appreciation.  \nTransport Connectivity - Enhanced connectivity through major highways and regional transport networks increases Mildura's attractiveness to tenants.  \nPopulation Growth - Projected population growth in Mildura is expected to drive sustained demand for housing and rental properties.","https://www.google.com/maps/search/?api=1&query=23%20Macquarie%20Court%2C%20Mildura%2C%20Vic%203500","2","","1","","341","Strata","0","0","","1","","","","GRZ1 (GENERAL RESIDENTIAL ZONE - SCHEDULE 1)","No","No","No","No","No","Yes","On-market","Jun 24 2026 11:10 AM","Jun 24 2026 11:21 AM","https://drive.google.com/drive/folders/1wV7isK-jYBx66fR-1oqmwbewDmTbzWlj"
"6a3b24f72c5397ec0739340f","Units A-C, 146 Dee St Koongal QLD 4701","05 Established","","A-C","146","Dee St","Koongal","QLD","Strong Capital Growth - Koongal has demonstrated steady capital appreciation, fueled by its strategic location within the Rockhampton Regional area.  \nLow Vacancy Rates - The rental market in Koongal boasts low vacancy rates, indicating strong and consistent tenant demand.  \nInfrastructure Development - Significant ongoing infrastructure projects in Rockhampton Regional enhance Koongal's long-term investment appeal.  \nCompetitive Pricing - Koongal offers more affordable property options compared to neighboring suburbs, providing potential for significant future capital gains.  \nAttractive Rental Yields - Investors can achieve favorable rental returns in Koongal, supported by high demand and stable rental prices.  \nStrong Transport Links - Koongal benefits from excellent connectivity to major transport routes, increasing its attractiveness to tenants.  \nPopulation Growth - The Rockhampton Regional area, including Koongal, is experiencing robust population growth, driving up demand for housing.","https://www.google.com/maps/search/?api=1&query=146%20Dee%20Street%20Koongal%20QLD%204701","6","","3","","961","Torrens","","0","","3","","","0","Lakes Creek Residential Area (Residential)","No","No","No","No","No","Yes","On-market","Jun 24 2026 10:29 AM","Jun 25 2026 11:13 AM","https://drive.google.com/drive/folders/1eb3aBqMWO7vRRFhevDFgxJFRPWqo3vvj"
"6a3b1fad882c7f1465d55b12","8 Kingston St Davoren Park SA 5113","05 Established","","","8","Kingston St","Davoren Park","SA","Strong Capital Growth - Davoren Park has observed consistent capital growth due to its strategic location within the City of Playford, an area undergoing significant urban development.  \nTight Rental Market - The suburb's rental vacancy rates are notably low, indicating robust tenant demand and stable rental income potential.  \nInfrastructure Investment - Ongoing infrastructure projects in the City of Playford are set to enhance accessibility and livability, boosting the area's investment appeal.  \nAffordability Advantage - Davoren Park offers more affordable property prices compared to other Adelaide suburbs, presenting strong potential for capital appreciation.  \nStrong Rental Yield - Investors can benefit from higher-than-average rental yields, driven by high demand and limited rental supply.  \nTransport Connectivity - The suburb is well-connected to major roads and public transport, improving tenant convenience and property desirability.  \nPopulation Growth - The City of Playford is experiencing rapid population growth, further increasing demand for housing and rental properties in Davoren Park.","https://www.google.com/maps/search/?api=1&query=8%20Kingston%20Street%20Davoren%20Park%20SA%205113","3","","1","","625","Torrens","","1","","1","","","","MPN (Master Planned Neighbourhood)","No","No","No","No","No","Yes","On-market","Jun 24 2026 10:07 AM","Jun 24 2026 10:08 AM","https://drive.google.com/drive/folders/1-jH9PdLY3p-xm21m9KrecJljRxztZoBo"
"6a3a382f0eeaa38319d9a8ed","6 Adye Ct Shorewell Park TAS 7320","05 Established","","","6","Adye Ct","Shorewell Park","TAS","Strong Capital Growth - Shorewell Park benefits from Burnie's robust economic environment, which supports sustained property value increases.  \nTight Rental Market - The area consistently experiences low rental vacancy rates, reflecting strong demand from tenants.  \nInfrastructure Investment - Recent upgrades in local amenities and transport infrastructure enhance the suburb's long-term investment appeal.  \nAffordability Advantage - Shorewell Park offers competitive property prices compared to other Burnie suburbs, providing attractive entry points for investors.  \nStrong Rental Yield - Investors can achieve above-average rental returns due to a combination of high tenant demand and affordable property prices.  \nTransport Connectivity - The suburb's accessibility is improved by proximity to major roads and public transport options, increasing its attractiveness to renters.  \nPopulation Growth - The increasing population in the Burnie region drives demand for housing, creating opportunities for rental income growth.","https://www.google.com/maps/search/?api=1&query=6%20ADYE%20COURT%20SHOREWELL%20PARK%20TAS%207320","3","","1","","792","Torrens","","0","","","","","1","8 (General Residential)","No","No","No","No","No","Yes","On-market","Jun 23 2026 05:39 PM","Jun 26 2026 02:09 PM","https://drive.google.com/drive/folders/1Q6ZmHcaZemESpXFhSrwH0AR-cVNOlApA"
"6a3a2c298585780a9c9646bc","6 Saxonvale Ct New Auckland QLD 4680","05 Established","","","6","Saxonvale Ct","New Auckland","QLD","Strong Capital Growth - New Auckland benefits from steady capital growth due to its strategic location within the expanding Gladstone Regional hub.  \nInfrastructure Development - Ongoing infrastructure projects in the Gladstone region promise enhanced accessibility and future capital appreciation.  \nCompetitive Affordability - New Auckland offers more affordable entry points compared to other suburbs in the region, maximizing potential investment returns.  \nExcellent Transport Links - Proximity to major highways and public transport in New Auckland improves access and attractiveness for potential tenants.  \nPopulation Growth - The area is witnessing significant population growth, which is projected to sustain strong rental demand in the long term.","https://www.google.com/maps/search/?api=1&query=6%20Saxonvale%20Court%20New%20Auckland%20QLD%204680","4","","2","","704","Torrens","","2","","","","","","Residential","No","No","No","No","No","Yes","On-market","Jun 23 2026 04:48 PM","Jun 24 2026 01:00 PM","https://drive.google.com/drive/folders/1NhWmBG1uChA1r8WxbMTYff_xYSvr_N9y"
