Type,Packager,Sourcer,Status,Review Date,Last Update,QA status,Property Address,Asking,Price Group,BA Message,Accept Acq’ / Total $,CONFIG,Current Rent $ pw,Appraied Rent $ pw,Land Size,Title Type,Year Built or Registration,Selling Agent,Cashback or Rebate,Cashback or Rebate $,Closing BA,Closing Price,Client_Closed,Closing_Date,Record ID,Sort_Key__Dont_edit
01 Hl Comms,aaditya.m,sachin.p,01 Available,23/06/2026,23/06/2026,Approved,"Lot 14, Howards Crossing, Howard QLD 4659",N/A,$500-700k,,"L = $199,080
B = $487,000
T = $686,080","4
2
1",N/A,$600 - $650,315,Individual,July 2026 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a39eda8a8e72b3983df8d08,01 Hl Comms - 01 Available - $500-700k
01 Hl Comms,brandon.l,brandon.l,01 Available,7/05/2026,7/05/2026,Approved,"Unit 1, 26 Beckington St Elizabeth Downs SA 5113",N/A,$700+,,"L = $340,000
B = $409,000
T = $749,000","3
2
1",N/A,$530 - $575,257.97,Tbc,August 2026 approx.,"Mohit Nathani
hmgroup
TBC",cashback,"$20,000",,,,,69fc42a177bd45be0e6a8af6,01 Hl Comms - 01 Available - $700+
01 Hl Comms,aaditya.m,ali.h,01 Available,27/05/2026,27/05/2026,Approved,"Lot 902, Units A,B, Amadeus St Lakelands WA 6180",N/A,$700+,,"L = $365,000
B = $559,800
T = $924,800","2 + 2
1 + 1
1 + 1",N/A,"$940 - $1,040",350,Green,Registered,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a1693a99129ee18dfcf2cce,01 Hl Comms - 01 Available - $700+
01 Hl Comms,aaditya.m,sachin.p,01 Available,28/05/2026,28/05/2026,,"Lot 275, Units A,B, Wattleup Rd Hammond Park WA 6164",N/A,$700+,,"L = $525,000
B = $619,900
T = $1,144,900","4 + 2
2 + 1
2 + 0",N/A,"$1,360 - $1,450",375,Green,January 2027 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a17def4ee6a03311a4c81b5,01 Hl Comms - 01 Available - $700+
01 Hl Comms,aaditya.m,sachin.p,01 Available,29/05/2026,29/05/2026,,"Lot 279, Units A,B, Ironwood Rd Hammond Park WA 6164",N/A,$700+,,"L = $485,000
B = $573,300
T = $1,058,300","2 + 2
1 + 1
1 + 1",N/A,"$1,200 - $1,300",313,Green,January 2026 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a18dad1b9d1998e403f6df6,01 Hl Comms - 01 Available - $700+
01 Hl Comms,jessica.k,ali.h,01 Available,11/06/2026,11/06/2026,Approved,"Units 1,2, 1491 Riverway Dr Kelso QLD 4815",N/A,$700+,"Please note that insurance is $5,481.84, and I've put the rates at $8000","L = $399,900
B = $799,100
T = $1,199,000","3 + 3
2 + 2
2 + 2",N/A,"$1,200 - $1,300",1212,Torrens,Registered,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a220e632e2423e0b5de8831,01 Hl Comms - 01 Available - $700+
01 Hl Comms,aaditya.m,sachin.p,01 Available,10/06/2026,10/06/2026,Approved,"Lot 734, Units A,B, Apron View Yanchep WA 6035",N/A,$700+,,"L = $485,000
B = $624,500
T = $1,109,500","4 + 2
2 + 1
1 + 1",N/A,"$1,140 - $1,240",380,Green,December 2026 approx.,"Darren Invest IQ
TBC
TBC",cashback,"$20,000",,,,,6a28bca5ccef5fe157c06963,01 Hl Comms - 01 Available - $700+
01 Hl Comms,sachin.p,sachin.p,01 Available,12/06/2026,12/06/2026,Approved,"Lot 9, 28 Daniel St Elizabeth Park SA 5113",N/A,$700+,,"L = $335,000
B = $440,000
T = $775,000","3
2
1",N/A,$530 - $580,307.3,Torrens,October 2026 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a2ba409fb5dd1e643e7a869,01 Hl Comms - 01 Available - $700+
01 Hl Comms,sachin.p,sachin.p,01 Available,12/06/2026,12/06/2026,Approved,"Lot 8, 28 Daniel St Elizabeth Park SA 5113",N/A,$700+,,"L = $325,000
B = $440,000
T = $765,000","3
2
1",N/A,$530 - $580,295.58,Torrens,October 2026 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a2ba404ec66ad472137a235,01 Hl Comms - 01 Available - $700+
01 Hl Comms,sachin.p,sachin.p,01 Available,12/06/2026,12/06/2026,Approved,"Lot 7, 28 Daniel St Elizabeth Park SA 5113",N/A,$700+,,"L = $320,000
B = $440,000
T = $760,000","3
2
1",N/A,$530 - $580,281.25,Torrens,October 2026 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a2ba4014d6a611f2b9482a3,01 Hl Comms - 01 Available - $700+
01 Hl Comms,sachin.p,sachin.p,01 Available,12/06/2026,12/06/2026,Approved,"Lot 6, 28 Daniel St Elizabeth Park SA 5113",N/A,$700+,,"L = $315,000
B = $440,000
T = $755,000","3
2
1",N/A,$530 - $580,212.98,Torrens,October 2026 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a2ba3fe0f6ce56997aa0feb,01 Hl Comms - 01 Available - $700+
01 Hl Comms,sachin.p,sachin.p,01 Available,12/06/2026,12/06/2026,Approved,"Lot 5, 28 Daniel St Elizabeth Park SA 5113",N/A,$700+,,"L = $315,000
B = $435,000
T = $750,000","3
2
2",N/A,$550 - $600,260.86,Torrens,October 2026 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a2ba3fbb0d663d25652d1d5,01 Hl Comms - 01 Available - $700+
01 Hl Comms,sachin.p,sachin.p,01 Available,12/06/2026,12/06/2026,Approved,"Lot 4, 28 Daniel St Elizabeth Park SA 5113",N/A,$700+,,"L = $320,000
B = $435,000
T = $755,000","3
2
2",N/A,$550 - $600,276.26,Torrens,October 2026 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a2ba3f7ccef5f3aaad6649c,01 Hl Comms - 01 Available - $700+
01 Hl Comms,sachin.p,sachin.p,01 Available,12/06/2026,12/06/2026,Approved,"Lot 3, 28 Daniel St Elizabeth Park SA 5113",N/A,$700+,,"L = $295,000
B = $435,000
T = $730,000","3
2
1",N/A,$530 - $580,214.02,Torrens,October 2026 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a2ba3f34d6a61478e9481a4,01 Hl Comms - 01 Available - $700+
01 Hl Comms,sachin.p,sachin.p,01 Available,12/06/2026,12/06/2026,Approved,"Lot 2, 28 Daniel St Elizabeth Park SA 5113",N/A,$700+,,"L = $290,000
B = $435,000
T = $725,000","3
2
1",N/A,$530 - $580,211.33,Torrens,October 2026 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a2ba3ef0f6ce51e59aa0fb1,01 Hl Comms - 01 Available - $700+
01 Hl Comms,sachin.p,sachin.p,01 Available,12/06/2026,12/06/2026,Approved,"Lot 1, 28 Daniel St Elizabeth Park SA 5113",N/A,$700+,,"L = $295,000
B = $435,000
T = $730,000","3
2
1",N/A,$530 - $580,232.91,Torrens,October 2026 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a2ba3ecec66ad74d537a152,01 Hl Comms - 01 Available - $700+
01 Hl Comms,jessica.k,sachin.p,01 Available,15/06/2026,15/06/2026,Approved,"Lot 150, Units 1,2, SUNNY Dr, Singleton Singleton WA 6175",N/A,$700+,For Sachin,"L = $469,000
B = $655,580
T = $1,124,580","3 + 2
2 + 1
2 + 0",N/A,"$1,180 - $1,290",342,Green,March 2027 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a2fa0dc64f3497dc0df9d18,01 Hl Comms - 01 Available - $700+
01 Hl Comms,james.m,ali.h,01 Available,16/06/2026,16/06/2026,Approved,"Lot 80, Units 1-2, 94 Innes Park Rd Innes Park QLD 4670",N/A,$700+,Property is under flood zone - Have left registration as TBC,"L = $510,000
B = $780,000
T = $1,290,000","4 + 4
2 + 2
1 + 1",N/A,"$1,300 - $1,400",800,Torrens,TBC,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a2fa09557263df79f123d6d,01 Hl Comms - 01 Available - $700+
01 Hl Comms,jessica.k,ali.h,01 Available,17/06/2026,17/06/2026,Approved,Approved,N/A,$700+,,"L = $675,200
B = $666,062
T = $1,341,262","4 + 3
2 + 2
1 + 1",N/A,"$1,210 - $1,260",504,Torrens,July 2026 approx.,"Will
TBC
TBC",cashback,"$20,000",,,,,6a321762f0c4ec0599b19a38,01 Hl Comms - 01 Available - $700+
01 Hl Comms,aaditya.m,aaditya.m,01 Available,18/06/2026,18/06/2026,Approved,"Lot 537, Units A,B, Kirramingly Ave Donnybrook VIC 3064",N/A,$700+,,"L = $355,000
B = $485,970
T = $840,970","4 + 2
2 + 1
2 + 0",N/A,$920 - $970,350,Individual,Registered,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a326292062e8bf45c7d18ea,01 Hl Comms - 01 Available - $700+
01 Hl Comms,aaditya.m,sachin.p,01 Available,19/06/2026,19/06/2026,,"Lot 692, Units A,B, Buchanan Avenue Eglinton WA 6034",N/A,$700+,Near train line,"L = $465,000
B = $702,800
T = $1,167,800","4 + 2
2 + 1
2 + 0",N/A,"$1,200 - $1,300",450,Green,July 2026 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a34a1c510100d58f3a24ede,01 Hl Comms - 01 Available - $700+
01 Hl Comms,aaditya.m,sachin.p,01 Available,24/06/2026,24/06/2026,Approved,"Lot 12, Howards Crossing Howard QLD 4659",N/A,$700+,,"L = $235,125
B = $500,000
T = $735,125","4
2
2",N/A,$630 - $680,375,Torrens,July 2026 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a3b451778d85c8dee4ccb00,01 Hl Comms - 01 Available - $700+
02 Single Comms,jessica.k,will.e,01 Available,14/05/2026,14/05/2026,Approved,"Lot 171, Pilly Dr, Burrum Heads QLD 4659",N/A,$700+,,"$880,000","4
2
2",N/A,$600 - $650,795,Torrens,TBC,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a05344100da13000a9df2d5,02 Single Comms - 01 Available - $700+
02 Single Comms,jessica.k,ali.h,01 Available,26/05/2026,26/05/2026,Approved,"Lot 110, Units 1,2, Mahogany Drive LOGAN RESERVE QLD 4133",N/A,$700+,,"$1,249,900","3 + 3
2.5 + 1
1 + 1",N/A,"$1,200 - $1,300",582,Torrens,Registered,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a0d5e560ea4620be733473f,02 Single Comms - 01 Available - $700+
02 Single Comms,aaditya.m,ali.h,01 Available,17/06/2026,17/06/2026,,"Lot 111, Unit 2, Macintyre St Holmview QLD 4207",offmarket,$700+,There is a $200 rental subsidy mentioned in attachments for the first two years after build completion.,"$799,990","4
2
1",N/A,$680 - $730,TBC,Strata,Registered,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a3223777f314f7bb909ed8e,02 Single Comms - 01 Available - $700+
02 Single Comms,aaditya.m,will.e,01 Available,24/06/2026,24/06/2026,Approved,"Lot 43, Birmingham Rd Cranbourne East VIC 3977",N/A,$700+,,"$749,500","4
2
1",N/A,$590 - $630,233,Individual,Registered,"Robert Puzzolo
TBC
TBC",cashback,"$20,000",,,,,6a39ff9b8bab9f2f9150d828,02 Single Comms - 01 Available - $700+
02 Single Comms,aaditya.m,will.e,01 Available,24/06/2026,24/06/2026,Approved,,N/A,$700+,,"$749,500","4
2
1",N/A,$590 - $630,233,Individual,Registered,"Robert Puzzolo
TBC
TBC",cashback,"$20,000",,,,,6a39ff969c791e35f3d449cf,02 Single Comms - 01 Available - $700+
02 Single Comms,aaditya.m,will.e,01 Available,24/06/2026,24/06/2026,Approved,"Lot 37, Birmingham Rd Cranbourne East VIC 3977",N/A,$700+,,"$749,500","4
2
1",N/A,$590 - $630,233,Individual,Registered,"Robert Puzzolo
TBC
TBC",cashback,"$20,000",,,,,6a39ff92ec8827078ec0e4aa,02 Single Comms - 01 Available - $700+
02 Single Comms,aaditya.m,will.e,01 Available,24/06/2026,24/06/2026,Approved,"Lot 34, Birmingham Rd Cranbourne East VIC 3977",N/A,$700+,,"$749,500","4
2
1",N/A,$590 - $630,233,Individual,Registered,"Robert Puzzolo
TBC
TBC",cashback,"$20,000",,,,,6a39ff8e82b3d41acdaa52bd,02 Single Comms - 01 Available - $700+
02 Single Comms,aaditya.m,sachin.p,01 Available,25/06/2026,25/06/2026,Approved,"Lot 2, 4 Hurst Rd Gawler East SA 5118",N/A,$700+,,"$750,000","3
2
1",N/A,$560 - $600,137,Torrens,Registered,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a3c848a30fa5b11088a62a6,02 Single Comms - 01 Available - $700+
02 Single Comms,aaditya.m,sachin.p,01 Available,25/06/2026,25/06/2026,Approved,"Lot 1, 4 Hurst Rd Gawler East SA 5118",N/A,$700+,,"$750,000","3
2
1",N/A,$560 - $600,131,Torrens,Registered,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a3c8486ceb1f2f631c5e3b3,02 Single Comms - 01 Available - $700+
03 Internal With Comms,jessica.k,jessica.k,01 Available,18/05/2026,18/05/2026,Approved,48 Chellaston Rd Munno Para West SA 5115,"offmarket - From $690,000",$500-700k,,"$680,000 – $690,000","3
2
1",$530,$540 - $560,314,Torrens,2011,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a0423b504bcf2248c8055ef,03 Internal With Comms - 01 Available - $500-700k
03 Internal With Comms,aaditya.m,will.e,01 Available,26/05/2026,26/05/2026,Approved,UNIT 5 33 Wyong Cr Andrews Farm SA 5114,"offmarket - Offers over $640,000",$500-700k,inferior land size.,"$625,000 – $635,000","3
2
1",$510,$510 - $560,108,Torrens,2023,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a150109621bed10224fa43c,03 Internal With Comms - 01 Available - $500-700k
03 Internal With Comms,aaditya.m,will.e,01 Available,26/05/2026,26/05/2026,Approved,UNIT 5 33 Wyong Cr Andrews Farm SA 5114,"offmarket - Offers over $640,000",$500-700k,inferior land size.,"$625,000 – $635,000","3
2
1",$510,$510 - $560,108,Torrens,2023,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a150109621bed10224fa43c,03 Internal With Comms - 01 Available - $500-700k
03 Internal With Comms,aaditya.m,sachin.p,01 Available,25/06/2026,25/06/2026,,40B Pix Rd Davoren Park SA 5113,"offmarket - Offers over $770,000",$700+,,"$760,000 – $770,000","4
2
1",$580,$590 - $630,300,Torrens,2025,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a3c96e1160564e8b946242c,03 Internal With Comms - 01 Available - $700+
03 Internal With Comms,aaditya.m,will.e,02 EOI,24/06/2026,24/06/2026,Approved,377 Binnies Rd Deebing Heights qld 4306,"offmarket - Offers over $900,000",$700+,medium proximity to roundabout. Strong value in the deal regardless,"$850,000 – $860,000","4
3
2",$850,$750 - $780,420,Torrens,2022,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a3b33337e289b0d4861d8f4,03 Internal With Comms - 02 EOI - $700+
05 Established,aaditya.m,sachin.p,01 Available,25/06/2026,25/06/2026,Approved,1 Hardman Rd Rangeway wa 6530,"onmarket - Offers over $429,000",,,"$430,000 – $440,000","3
1
0",$480,$450 - $500,391,Strata,2009,"TBC
TBC
TBC",,,,,,,6a3c9d95789a666fbc331332,05 Established - 01 Available -
05 Established,aaditya.m,aaditya.m,01 Available,25/06/2026,25/06/2026,Approved,178 Rush St Koongal qld 4701,"offmarket - Offers over $485,000",$300-500k,Still awaiting rental info,"$480,000 – $485,000","2
1
0",$440,$450 - $500,655,Torrens,1970,"TBC
TBC
TBC",,,,,,,6a2a28e9f796fb74ae678f99,05 Established - 01 Available - $300-500k
05 Established,aaditya.m,aaditya.m,01 Available,12/06/2026,12/06/2026,,"UNIT 3 42 Powell St, South Yarra South Yarra VIC 3141","offmarket - Offers over $410,000",$300-500k,,"$390,000 – $400,000","1
1
0",N/A,$480 - $520,0,Strata,1970,"TBC
TBC
TBC",,,,,,,6a2b650708ed270e947a7e16,05 Established - 01 Available - $300-500k
05 Established,aaditya.m,aaditya.m,01 Available,12/06/2026,12/06/2026,Approved,115 Maple St Golden Square vic 3555,"onmarket - Offers over $460,000",$300-500k,"1 yr and quarterly stats show 0% on investar

numbers are replaced with spi data","$485,000 – $495,000","2
1
0",N/A,$420 - $470,372,Individual,TBC,"TBC
TBC
TBC",,,,,,,6a2b78da8e4a9a75dab9fa38,05 Established - 01 Available - $300-500k
05 Established,jessica.k,jessica.k,01 Available,18/06/2026,18/06/2026,Approved,"Unit 5, 28 Ashmont Av Ashmont NSW 2650","onmarket - From $399,000",$300-500k,,"$410,000 – $420,000","2
1
1",$340,$360 - $400,129,Strata,1986,"Lazetta
TBC
TBC",,,,,,,6a3369abcef18f749ff12fea,05 Established - 01 Available - $300-500k
05 Established,aaditya.m,aaditya.m,01 Available,25/06/2026,25/06/2026,Approved,6 Adye Ct Shorewell Park TAS 7320,"onmarket - Offers over $419,000",$300-500k,,"$420,000 – $430,000","3
1
0",$380,$380 - $420,792,Torrens,1980,"Adam Wales
TBC
TBC",,,,,,,6a3a382f0eeaa38319d9a8ed,05 Established - 01 Available - $300-500k
05 Established,jessica.k,jessica.k,01 Available,24/06/2026,24/06/2026,,23 Macquarie Ct Mildura VIC 3500,"onmarket - $440,000 - $470,000",$300-500k,,"$460,000 – $470,000","2
1
0",N/A,$420 - $450,341,Strata,1987,"Josh
TBC
TBC",,,,,,,6a3b2e926502827d9eb83a4e,05 Established - 01 Available - $300-500k
05 Established,jessica.k,will.e,01 Available,25/06/2026,25/06/2026,Approved,34 Hampton St Northam wa 6401,"offmarket - From $450,000",$300-500k,"Please note both CMA are 3-bed houses
Please note that it comes up as a flood ( river ) zone on Stash and Steadfast. However, not the WA gov","$440,000 – $450,000","3
1
0",N/A,$485 - $520,243,Survey Strata,1990,"TBC
TBC
TBC",,,,,,,6a3ccd474f367f3b1eaebfc8,05 Established - 01 Available - $300-500k
05 Established,aaditya.m,aaditya.m,01 Available,10/06/2026,10/06/2026,Approved,35 Currajong St Mornington tas 7018,"onmarket - Offers over $595,000",$500-700k,"previous sell fell through on finance at 642,500","$635,000 – $645,000","3
1
0",N/A,$580 - $610,623,Torrens,1968,"TBC
TBC
TBC",,,,,,,6a290352b9d6cf2a295348bf,05 Established - 01 Available - $500-700k
05 Established,jessica.k,ali.h,01 Available,12/06/2026,12/06/2026,Approved,"Unit 2, 4 Fairfield St Cranbourne vic 3977","prelaunch_opportunity - $565,000 - $620,000",$500-700k,,"$550,000 – $560,000","3
1
1",N/A,$500 - $550,156,Strata,1980,"TBC
TBC
TBC",,,,,,,6a2a5513ccef5f9804ce7997,05 Established - 01 Available - $500-700k
05 Established,james.m,james.m,01 Available,16/06/2026,16/06/2026,Approved,101 Tarleton St East Devonport TAS 7310,"offmarket - Off market wanting $600,000",$500-700k,,"$590,000 – $610,000","4
2
2",N/A,$560 - $600,1167,Torrens,1963,"Mick
TBC
TBC",,,,,,,6a30d3e34e493b6d9f30b851,05 Established - 01 Available - $500-700k
05 Established,aaditya.m,aaditya.m,01 Available,26/05/2026,26/05/2026,Approved,2 Ridge Ct Mildura VIC 3500,"onmarket - Offers over $530,000",$500-700k,Medium distance to industrial.,"$545,000 – $555,000","3
1
0",N/A,$480 - $525,772,Individual,TBC,"TBC
TBC
TBC",,,,,,,6a13f35b4654890bcc27ed9c,05 Established - 01 Available - $500-700k
05 Established,aaditya.m,aaditya.m,01 Available,16/06/2026,16/06/2026,Approved,11 Kurrajong St Red Cliffs VIC 3496,"onmarket - Offers over $500,000",$500-700k,"Electricals will have to be updated for compliance due to age. Can organise rectification in the contract. Previous contract fell through on finance at $525,000.","$525,000 – $535,000","3
2
0",N/A,$490 - $525,772,Individual,TBC,"TBC
TBC
TBC",,,,,,,6a31126f23ad229f77309660,05 Established - 01 Available - $500-700k
05 Established,aaditya.m,aaditya.m,01 Available,4/06/2026,4/06/2026,,UNIT 4 30-32 Magnolia Ct Brighton TAS 7030,"onmarket - Offers over $550,000",$500-700k,,"$550,000 – $560,000","3
2
0",N/A,$570 - $620,266,Strata,2006,"TBC
TBC
TBC",,,,,,,6a212fc72e7fa74e2bc65aa5,05 Established - 01 Available - $500-700k
05 Established,jessica.k,jessica.k,01 Available,23/06/2026,23/06/2026,,2 Valiant Ct Clinton QLD 4680,"prelaunch_opportunity - From $600,000",$500-700k,Confirming the last rental increase was April/May 2026,"$590,000 – $600,000","3
2
1",$495,$500 - $550,777,Torrens,1992,"Julia
TBC
TBC",,,,,,,6a38dc77b65f9bcd11c540f6,05 Established - 01 Available - $500-700k
05 Established,jessica.k,jessica.k,01 Available,18/06/2026,18/06/2026,Approved,4 Holmes Pl Park Grove TAS 7320,"onmarket - From $550,000",$500-700k,,"$560,000 – $570,000","3
1
2",N/A,$420 - $460,654,Torrens,1960,"Bruce
TBC
TBC",,,,,,,6a333b2ef8cb114ed4716062,05 Established - 01 Available - $500-700k
05 Established,jessica.k,jessica.k,01 Available,24/06/2026,24/06/2026,Approved,6 Saxonvale Ct New Auckland QLD 4680,"onmarket - From $635,000",$500-700k,,"$645,000 – $655,000","4
2
2",$530,$550 - $600,704,Torrens,2003,"Dennis
TBC
TBC",,,,,,,6a3a2c298585780a9c9646bc,05 Established - 01 Available - $500-700k
05 Established,jessica.k,sachin.p,01 Available,24/06/2026,24/06/2026,Approved,18 Senna Av Andrews Farm sa 5114,"onmarket - $645,000 - $685,000",$500-700k,,"$610,000 – $625,000","3
2
1",$500,$500 - $550,300,Torrens,2019,"TBC
TBC
TBC",,,,,,,6a3b3fa8f246bb64be054a1a,05 Established - 01 Available - $500-700k
05 Established,jessica.k,jessica.k,01 Available,24/06/2026,24/06/2026,Approved,"Unit 1, 22 Carara Dr, Kawana QLD 4701","onmarket - From $485,000",$500-700k,"Please note the tenants have been in the property for 17 years. 
Please note the CMA is based on 3-bedroom houses.","$500,000 – $510,000","3
1
1",$430,$440 - $470,320,Strata,1992,"Kandi
TBC
TBC",,,,,,,6a3b8b62eabbf745d277b322,05 Established - 01 Available - $500-700k
05 Established,jessica.k,jessica.k,01 Available,25/06/2026,25/06/2026,,"Unit 2, 22 Carara Dr, Kawana QLD 4701","onmarket - From $485,000",$500-700k,"Please note the tenants have been in the property for 17 years.

Please note the CMA is based on 3-bedroom houses.","$500,000 – $510,000","3
1
1",$430,$440 - $470,320,Strata,1992,"Kandi
TBC
TBC",,,,,,,6a3c6cf1114fff69445f1ed9,05 Established - 01 Available - $500-700k
05 Established,jessica.k,jessica.k,01 Available,25/06/2026,25/06/2026,Approved,40B Pix Rd Davoren Park SA 5113,"offmarket - From $520,000",$500-700k,Please note the CMA reflects the lack of 3-bedroom unit/villa's that have sold in the last 6 months,"$515,000 –","3
1
0",N/A,$480 - $530,353,Strata,1988,"Paul
TBC
TBC",,,,,,,69e08aa6e69ba14e79a051f3,05 Established - 01 Available - $500-700k
05 Established,jessica.k,jessica.k,01 Available,12/06/2026,12/06/2026,Approved,"Units 1,2, 461 Boat Harbour Dr, Torquay QLD 4655","offmarket - From $970,000",$700+,"Please note this property is next to a Church. 
Contracts need to be signed from the 1st of July 2026","$960,000 – $970,000","2 + 2
1 + 1
1 + 1",$950,"$1,000 - $1,100",915,Torrens,1981,"Candice Serra
TBC
TBC",,,,,,,6a27c3aeed89f0fbb53ae107,05 Established - 01 Available - $700+
